text,label
"An algorithm is a finite sequence of well-defined instructions, typically used to solve a class of specific problems or to perform a computation.",tech
"A data structure is a data organization, management, and storage format that enables efficient access and modification.",tech
"A programming language is a system of notation for writing computer programs.",tech
"Software engineering is the systematic application of engineering approaches to the development of software.",tech
"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.",tech
"A database is an organized collection of data, generally stored and accessed electronically from a computer system.",tech
"Web development is the work involved in developing a website for the Internet or an intranet.",tech
"User interface design or user interface engineering is the design of user interfaces for machines and software, such as computers, home appliances, mobile devices, and other electronic devices.",tech
"Digital marketing is the component of marketing that uses the Internet and online based digital technologies such as desktop computers, mobile phones and other digital media and platforms to promote products and services.",economics_finance
"Search engine optimization (SEO) is the process of improving the quality and quantity of website traffic to a website or a web page from search engines.",tech
"A business plan is a formal written document containing the business goals, the methods on how these goals can be attained, and the time-frame within which these goals need to be achieved.",economics_finance
"Leadership is both a research area and a practical skill encompassing the ability of an individual, group or organization to lead, influence or guide other individuals, teams, or entire organizations.",philosophy
"Project management is the process of leading the work of a team to achieve all project goals within the given constraints.",economics_finance
"Accounting, also known as accountancy, is the measurement, processing, and communication of financial and non financial information about economic entities such as businesses and corporations.",economics_finance
"Law is a system of rules created and enforced through social or governmental institutions to regulate behavior.",philosophy
"Medicine is the science and practice of caring for a patient, managing the diagnosis, prognosis, prevention, treatment, palliation of their injury or disease, and promoting their health.",health
"Anatomy is the branch of biology concerned with the study of the structure of organisms and their parts.",health
"Physiology is the scientific study of functions and mechanisms in a living system.",health
"Pharmacology is a branch of medicine, biology and pharmaceutical sciences concerned with drug or medication action.",health
"Surgery is a medical or dental specialty that uses operative manual and instrumental techniques on a person to investigate or treat a pathological condition such as a disease or injury.",health
"Oncology is a branch of medicine that deals with the prevention, diagnosis, and treatment of cancer.",health
"Cardiology is a branch of medicine that deals with disorders of the heart as well as some parts of the circulatory system.",health
"Epidemiology is the study and analysis of the distribution, patterns and determinants of health and disease conditions in defined populations.",health
"Public health is the science and art of preventing disease, prolonging life and improving quality of life through organized efforts and informed choices of society, organizations, public and private, communities and individuals.",health
"Nutrition is the biochemical and physiological process by which an organism uses food to support its life.",health
"Sports science is a discipline that studies how the healthy human body works during exercise, and how sport and physical activity promote health and performance from cellular to whole body perspectives.",health
"Geology is a branch of natural science concerned with Earth and other astronomical objects, the features or rocks of which it is composed, and the processes by which they change over time.",science
"Meteorology is a branch of the atmospheric sciences which includes atmospheric chemistry and atmospheric physics, with a major focus on weather forecasting.",science
"Oceanography is the scientific study of the ocean.",science
"Ecology is the study of the relationships between living organisms, including humans, and their physical environment.",science
"A self-driving car is a vehicle that is capable of sensing its environment and moving safely with little or no human input.",tech
"Venture capital is a form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or which have demonstrated high growth.",economics_finance
"A pandemic is an epidemic of an infectious disease that has spread across a large region, for instance multiple continents or worldwide, affecting a substantial number of people.",health
"The Olympic Games are leading international sporting events featuring summer and winter sports competitions in which thousands of athletes from around the world participate in a variety of competitions.",sports
"A solar panel is a device that converts sunlight into electricity by using photovoltaic cells.",science
"The Cold War was a period of geopolitical tension between the United States and the Soviet Union and their respective allies, the Western Bloc and the Eastern Bloc, which began following World War II.",history
"Aesthetics is a branch of philosophy that deals with the nature of art, beauty and taste and with the creation or appreciation of beauty.",art_culture
"Behavioral economics studies the effects of psychological, cognitive,emotional, cultural and social factors on the economic decisions of individuals and institutions.",economics_finance
"A central processing unit (CPU) is the electronic circuitry that executes instructions comprising a computer program.",tech
"An antibiotic is a type of antimicrobial substance active against bacteria.",health
"The Super Bowl is the annual championship game of the National Football League (NFL).",sports
"A fossil is any preserved remains, impression, or trace of any once-living thing from a past geological age.",science
"The American Revolution was an ideological and political revolution that occurred in colonial North America between 1765 and 1783.",history
"Surrealism was a cultural movement which developed in Europe in the aftermath of World War I and was largely influenced by Dada.",art_culture
"An exchange-traded fund (ETF) is a type of pooled investment security that operates much like a mutual fund.",economics_finance
"A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules.",tech
"A vaccine is a biological preparation that provides active acquired immunity to a particular infectious disease.",health
"The Tour de France is an annual men's multiple-stage bicycle race primarily held in France.",sports
"An exoplanet or extrasolar planet is a planet outside the Solar System.",science
"The Middle Ages was the period in European history from the collapse of Roman civilization in the 5th century CE to the period of the Renaissance.",history
"Baroque is a style of architecture, music, dance, painting, sculpture and other arts that flourished in Europe from the early 17th century until the 1740s.",art_culture
"A hedge fund is a pooled investment fund that trades in relatively liquid assets and is able to make extensive use of more complex trading, portfolio-construction and risk management techniques in an attempt to improve performance.",economics_finance
"Machine translation is a sub-field of computational linguistics that investigates the use of software to translate text or speech from one language to another.",tech
"Mental health includes our emotional, psychological, and social well-being.",health
"Formula One is the highest class of international auto racing for single-seater formula racing cars sanctioned by the Fédération Internationale de l'Automobile (FIA).",sports
"Dark matter is a form of matter thought to account for approximately 85% of the matter in the universe and about a quarter of its total mass–energy density or about 2.241×10−27 kg/m3.",science
"The Silk Road was a network of trade routes which connected the East and West, and was central to the economic, cultural, political, and religious interactions between these regions from the 2nd century BCE to the 18th century.",history
"Gothic art was a style of medieval art that developed in Northern France out of Romanesque art in the 12th century AD.",art_culture
"A credit score is a numerical expression based on a level analysis of a person's credit files, to represent the creditworthiness of an individual.",economics_finance
"Malware is any software intentionally designed to cause disruption to a computer, server, client, or computer network, leak private information, gain unauthorized access to information or systems, deprive users access to information or which unknowingly interferes with the user's computer security and privacy.",tech
"A clinical trial is a research study that prospectively assigns human participants or groups of humans to one or more health-related interventions to evaluate the effects on health outcomes.",health
"The NBA draft is an annual event in which the thirty teams of the National Basketball Association (NBA) can draft players who are eligible and wish to join the league.",sports
"The Big Bang theory is the leading cosmological model for the observable universe from the earliest known periods through its subsequent large-scale evolution.",science
"The Protestant Reformation was a major movement within Western Christianity in 16th-century Europe that posed a religious and political challenge to the Catholic Church and in particular to papal authority, arising from what were perceived to be errors, abuses, and discrepancies by the Catholic Church.",history
"Pop art is an art movement that emerged in the United Kingdom and the United States during the mid- to late-1950s.",art_culture
"An initial public offering (IPO) refers to the process of offering shares of a private corporation to the public in a new stock issuance.",economics_finance
"A computer network is a set of computers sharing resources located on or provided by network nodes.",tech
"Anesthesia is a state of controlled, temporary loss of sensation or awareness that is induced for medical purposes.",health
"The FIFA World Player of the Year was an association football award presented annually by the sport's governing body, FIFA, between 1991 and 2015.",sports
"Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy, through a cellular process, that can later be released to fuel the organism's activities.",science
"The Byzantine Empire, also referred to as the Eastern Roman Empire, was the continuation of the Roman Empire in its eastern provinces during Late Antiquity and the Middle Ages, when its capital city was Constantinople.",history
"Minimalism is an art movement that began in post–World War II Western art, most strongly with American visual arts in the 1960s and early 1970s.",art_culture
"A dividend is a distribution of profits by a corporation to its shareholders.",economics_finance
"A graphical user interface (GUI) is a form of user interface that allows users to interact with electronic devices through graphical icons and audio indicator such as primary notation, instead of text-based user interfaces, typed command labels or text navigation.",tech
"A CT scan or computed tomography scan is a medical imaging technique used in radiology to get detailed images of the body noninvasively for diagnostic purposes.",health
"A grand slam in tennis is the achievement of winning all four major championships in one discipline in the same calendar year.",sports
"A black hole is a region of spacetime where gravity is so strong that nothing—no particles or even electromagnetic radiation such as light—can escape from it.",science
"The Age of Enlightenment was an intellectual and philosophical movement that dominated the world of ideas in Europe during the 17th and 18th centuries.",history
"Abstract expressionism is a post–World War II art movement in American painting, developed in New York in the 1940s.",art_culture
"Capital gains tax is a tax on the profit realized on the sale of a non-inventory asset.",economics_finance
"A denial-of-service attack is a cyber-attack in which the perpetrator seeks to make a machine or network resource unavailable to its intended users by temporarily or indefinitely disrupting services of a host connected to the Internet.",tech
"A placebo is a substance or treatment which is designed to have no therapeutic value.",health
"The Heisman Trophy is awarded annually to the most outstanding player in college football.",sports
"A supernova is a powerful and luminous stellar explosion.",science
"The Crusades were a series of religious wars initiated, supported, and sometimes directed by the Latin Church in the medieval period.",history
"Rococo, less commonly roccoco or Late Baroque, is an exceptionally ornamental and theatrical style of architecture, art and decoration which combines asymmetry, scrolling curves, gilding, white and pastel colors, sculpted molding, and trompe-l'œil frescoes to create surprise and the illusion of motion and drama.",art_culture
"Insider trading is the trading of a public company's stock or other securities based on material, nonpublic information about the company.",economics_finance
"Phishing is a type of social engineering where an attacker sends a fraudulent message designed to trick a person into revealing sensitive information to the attacker or to deploy malicious software on the victim's infrastructure like ransomware.",tech
"Gene therapy is a medical field which focuses on the genetic modification of cells to produce a therapeutic effect or the treatment of disease by repairing or reconstructing defective genetic material.",health
"A hat-trick in sports is the achievement of a positive feat three times in a game, or other achievements based on the number three.",sports
"String theory is a theoretical framework in which the point-like particles of particle physics are replaced by one-dimensional objects called strings.",science
"The Viking Age was the period from the late 8th century to the mid-11th century in European history, especially Northern European and Scandinavian history, following the Germanic Iron Age.",history
"Neoclassicism was a Western cultural movement in the decorative and visual arts, literature, theatre, music, and architecture that drew inspiration from the art and culture of classical antiquity.",art_culture
"A 401(k) is a retirement savings plan sponsored by an employer.",economics_finance
"A VPN, or Virtual Private Network, allows you to create a secure connection to another network over the Internet.",tech
"Cardiopulmonary resuscitation (CPR) is an emergency procedure consisting of chest compressions often combined with artificial ventilation in an effort to manually preserve intact brain function until further measures are taken to restore spontaneous blood circulation and breathing in a person who is in cardiac arrest.",health
"A shutout in sports is a game in which the losing team scores no points.",sports
"The Hubble Space Telescope is a space telescope that was launched into low Earth orbit in 1990 and remains in operation.",science
"The Mongol Empire of the 13th and 14th centuries was the largest contiguous land empire in history.",history
"Romanticism was an artistic, literary, musical, and intellectual movement that originated in Europe toward the end of the 18th century.",art_culture
"A mutual fund is a type of financial vehicle made up of a pool of money collected from many investors to invest in securities like stocks, bonds, money market instruments, and other assets.",economics_finance
"Two-factor authentication is an electronic authentication method in which a user is granted access to a website or application only after successfully presenting two or more pieces of evidence to an authentication mechanism.",tech
"Physical therapy, also known as physiotherapy, is one of the allied health professions that, by using evidence-based kinesiology, exercise prescription, health education, mobilization, and electrical or physical agents, treats acute or chronic pain, movement and physical impairments.",health
"A no-hitter is a baseball game in which a team was not able to record a single hit.",sports
"The Standard Model of particle physics is the theory describing three of the four known fundamental forces (the electromagnetic, weak, and strong interactions, and not including the gravitational force) in the universe, as well as classifying all known elementary particles.",science
"The Ottoman Empire was a state that controlled much of Southeastern Europe, Western Asia, and Northern Africa between the 14th and early 20th centuries.",history
"Realism in the arts is the attempt to represent subject matter truthfully, without artificiality and avoiding artistic conventions, implausible, exotic and supernatural elements.",art_culture
"A bond is a fixed-income instrument that represents a loan made by an investor to a borrower (typically corporate or governmental).",economics_finance
"Encryption is the process of encoding information.",tech
"An MRI, or magnetic resonance imaging, is a medical imaging technique used in radiology to form pictures of the anatomy and the physiological processes of the body.",health
"A triple-double is a single-game performance by a player in a basketball game in which they accumulate a double-digit number total in three of five statistical categories—points, rebounds, assists, steals, and blocked shots.",sports
"An asteroid is a minor planet of the inner Solar System.",science
"The Meiji Restoration was a political event that restored practical imperial rule to Japan in 1868 under Emperor Meiji.",history
"Fauvism is the style of les Fauves (French for 'the wild beasts'), a group of early 20th-century modern artists whose works emphasized painterly qualities and strong color over the representational or realistic values retained by Impressionism.",art_culture
"A bear market is a condition in which securities prices fall 20% or more from recent highs amid widespread pessimism and negative investor sentiment.",economics_finance
"A server is a piece of computer hardware or software (computer program) that provides functionality for other programs or devices, called 'clients'.",tech
"A biopsy is a medical test commonly performed by a surgeon, interventional radiologist, or an interventional cardiologist involving extraction of sample cells or tissues for examination to determine the presence or extent of a disease.",health
"A perfect game in baseball is a game in which a pitcher (or combination of pitchers) pitches a victory that lasts a minimum of nine innings and in which no opposing player reaches base.",sports
"The theory of general relativity was developed by Albert Einstein between 1907 and 1915.",science
"The Cold War was a period of geopolitical tension between the United States and the Soviet Union and their respective allies, the Western Bloc and the Eastern Bloc, which began following World War II.",history
"Surrealism was a cultural movement which developed in Europe in the aftermath of World War I and was largely influenced by Dada.",art_culture
"A bull market is the condition of a financial market in which prices are rising or are expected to rise.",economics_finance
"A router is a networking device that forwards data packets between computer networks.",tech
"Chemotherapy is a type of cancer treatment that uses one or more anti-cancer drugs as part of a standardized chemotherapy regimen.",health
"A slam dunk, also simply dunk, is a type of basketball shot that is performed when a player jumps in the air, controls the ball above the horizontal plane of the rim, and scores by putting the ball directly through the basket with one or both hands.",sports
"A galaxy is a gravitationally bound system of stars, stellar remnants, interstellar gas, dust, and dark matter.",science
"The American Civil War was a civil war in the United States from 1861 to 1865, fought between the northern states (the Union) and the southern states (the Confederacy) that seceded from the Union.",history
"Dada was an art movement of the European avant-garde in the early 20th century, with early centers in Zürich, Switzerland, at the Cabaret Voltaire.",art_culture
"A recession is a business cycle contraction when there is a general decline in economic activity.",economics_finance
"An operating system is system software that manages computer hardware, software resources, and provides common services for computer programs.",tech
"A blood test is a laboratory analysis performed on a blood sample that is usually extracted from a vein in the arm using a hypodermic needle, or via fingertip.",health
"A home run is a fair ball hit out of the park or in the park for a complete circuit of the bases.",sports
"A light-year is a unit of length used to express astronomical distances and is equivalent to about 9.46 trillion kilometres (9.46×1012 km) or 5.88 trillion miles (5.88×1012 mi).",science
"The Vietnam War was a conflict in Vietnam, Laos, and Cambodia from 1 November 1955 to the fall of Saigon on 30 April 1975.",history
"Conceptual art is art for which the idea (or concept) behind the work is more important than the finished art object.",art_culture
"An asset is any resource with economic value that an individual, corporation, or country owns or controls with the expectation that it will provide a future benefit.",economics_finance
"The motherboard is the main printed circuit board (PCB) in general-purpose computers and other expandable systems.",tech
"An X-ray, or, much less commonly, X-radiation, is a penetrating form of high-energy electromagnetic radiation.",health
"A touchdown is a scoring play in American and Canadian football.",sports
"A nebula is an interstellar cloud of dust, hydrogen, helium and other ionized gases.",science
"The Korean War was a war between North Korea (with the support of China and the Soviet Union) and South Korea (with the support of the United Nations, principally the United States).",history
"Performance art is an artwork or art exhibition created through actions executed by the artist or other participants.",art_culture
"A liability is something a person or company owes, usually a sum of money.",economics_finance
"A hard disk drive (HDD), hard disk, hard drive, or fixed disk is an electro-mechanical data storage device that stores and retrieves digital data using magnetic storage and one or more rigid rapidly rotating platters coated with magnetic material.",tech
"An ultrasound scan is a medical test that uses high-frequency sound waves to capture live images from the inside of your body.",health
"A field goal in American and Canadian football is a means of scoring in gridiron football.",sports
"A constellation is an area on the celestial sphere in which a group of visible stars forms a perceived outline or pattern, typically representing an animal, mythological person or creature, or an inanimate object.",science
"The Gulf War was a war waged by coalition forces from 35 nations led by the United States against Iraq in response to Iraq's invasion and annexation of Kuwait arising from oil pricing and production disputes.",history
"Installation art is an artistic genre of three-dimensional works that are often site-specific and designed to transform the perception of a space.",art_culture
"Equity is the value of an asset less the value of all liabilities on that asset.",economics_finance
"Epistemology is the branch of philosophy concerned with knowledge.",philosophy
"Utilitarianism is a theory of morality which advocates actions that foster happiness or pleasure and oppose actions that cause unhappiness or harm.",philosophy
"Existentialism is a form of philosophical inquiry that explores the problem of human existence and centers on the subjective experience of the thinking, feeling, acting individual.",philosophy
"Stoicism is a school of Hellenistic philosophy founded by Zeno of Citium in Athens in the early 3rd century BC.",philosophy
"Socrates was a Greek philosopher from Athens who is credited as the founder of Western philosophy and among the first moral philosophers of the ethical tradition of thought.",philosophy
"Plato was an Athenian philosopher during the Classical period in Ancient Greece, founder of the Platonist school of thought and the Academy, the first institution of higher learning in the Western world.",philosophy
"Aristotle was a Greek philosopher and polymath during the Classical period in Ancient Greece.",philosophy
"Political philosophy is the study of topics such as politics, liberty, justice, property, rights, law, and the enforcement of laws by authority.",philosophy
"The Socratic method is a form of cooperative argumentative dialogue between individuals, based on asking and answering questions to stimulate critical thinking and to draw out ideas and underlying presuppositions.",philosophy
"Dualism in philosophy is the view that mind and body are fundamentally distinct kinds of substances or natures.",philosophy
"Materialism is a form of philosophical monism which holds that matter is the fundamental substance in nature, and that all things, including mental states and consciousness, are results of material interactions.",philosophy
"Rationalism is an epistemological view that regards reason as the chief source and test of knowledge.",philosophy
"Empiricism is a theory that states that knowledge comes only or primarily from sensory experience.",philosophy
"The social contract is a theory or model that originated during the Age of Enlightenment and usually concerns the legitimacy of the authority of the state over the individual.",philosophy
"Deontology is an ethical theory that uses rules to distinguish right from wrong.",philosophy
"Inflation is the rate at which the general level of prices for goods and services is rising, and subsequently, purchasing power is falling.",economics_finance
"Gross Domestic Product (GDP) is the total monetary or market value of all the finished goods and services produced within a country's borders in a specific time period.",economics_finance
"A tariff is a tax imposed by a government of a country or of a supranational union on imports or exports of goods.",economics_finance
"Fiscal policy is the use of government revenue collection and expenditure to influence a country's economy.",economics_finance
"Plate tectonics is the scientific theory that Earth's outer shell is divided into several plates that glide over the mantle, the rocky inner layer above the core.",science
"The scientific method is an empirical method of acquiring knowledge that has characterized the development of science since at least the 17th century.",science
"A cell is the basic structural and functional unit of all known organisms.",science
"DNA, or deoxyribonucleic acid, is a molecule composed of two polynucleotide chains that coil around each other to form a double helix carrying genetic instructions.",science
"Botany, also called plant science(s), plant biology or phytology, is the science of plant life and a branch of biology.",science
"Zoology is the branch of biology that studies the animal kingdom, including the structure, embryology, evolution, classification, habits, and distribution of all animals, both living and extinct, and how they interact with their ecosystems.",science
"The mind–body problem is a debate concerning the relationship between thought and consciousness in the human mind, and the brain as part of the physical body.",philosophy
"Free will is the capacity of agents to choose between different possible courses of action unimpeded.",philosophy
"Consciousness, at its simplest, is sentience or awareness of internal and external existence.",philosophy
"Nihilism is the philosophical viewpoint that suggests the denial of, or lack of belief in, the reputedly meaningful aspects of life.",philosophy
"Absurdism is the philosophical theory that existence in general is absurd.",philosophy
"The study of ancient civilizations reveals the foundations of modern society.",history
"Monetary inflation can erode the purchasing power of a currency.",economics_finance
"The principles of aerodynamics govern the flight of aircraft.",science
"Post-structuralism challenges the assumptions of structuralism in literary theory.",philosophy
"The discovery of penicillin revolutionized modern medicine.",health
"The use of perspective was a key innovation in Renaissance painting.",art_culture
"The Premier League is the top tier of the English football league system.",sports
"A semiconductor is a material which has an electrical conductivity value falling between that of a conductor and an insulator.",tech
"The Treaty of Versailles officially ended World War I.",history
"Derivatives are financial securities with a value that is reliant upon or derived from an underlying asset or group of assets.",economics_finance
"Quantum entanglement is a physical phenomenon that occurs when a group of particles are generated, interact, or share spatial proximity in such a way that the quantum state of each particle of the group cannot be described independently of the state of the others.",science
"Phenomenology is the philosophical study of the structures of experience and consciousness.",philosophy
"Immunotherapy is a type of cancer treatment that helps your immune system fight cancer.",health
"The Bauhaus was a German art school operational from 1919 to 1933 that combined crafts and the fine arts.",art_culture
"The Stanley Cup is the championship trophy awarded annually to the National Hockey League (NHL) playoff winner.",sports
"An application programming interface (API) is a way for two or more computer programs to communicate with each other.",tech
"The Peloponnesian War was an ancient Greek war fought by the Delian League led by Athens against the Peloponnesian League led by Sparta.",history
"A leveraged buyout (LBO) is a financial transaction in which a company is purchased with a combination of equity and debt, such that the company's cash flow is the collateral used to secure and repay the borrowed money.",economics_finance
"A prion is a type of protein that can trigger normal proteins in the brain to fold abnormally.",health
"The Ashes is a Test cricket series played between England and Australia.",sports
"Fresco is a technique of mural painting executed upon freshly laid lime plaster.",art_culture
"The violin, sometimes known as a fiddle, is a wooden chordophone in the violin family.",art_culture
"Ballet is a type of performance dance that originated during the Italian Renaissance in the fifteenth century.",art_culture
"The Grammy Award is an award presented by the Recording Academy to recognize outstanding achievement in the music industry.",art_culture
"Modernist architecture is a style of building that emphasizes function and a streamlined form over ornamentation.",art_culture
"The trolley problem is a series of thought experiments in ethics and psychology, involving stylized ethical dilemmas of whether to sacrifice one person to save a larger number.",philosophy
"Solipsism is the philosophical idea that only one's own mind is sure to exist.",philosophy
"Hedonism is a school of thought that argues that the pursuit of pleasure and intrinsic goods are the primary or most important goals of human life.",philosophy
"The Gettier problem is a landmark philosophical problem in modern epistemology, which challenges the traditional definition of knowledge as justified true belief.",philosophy
"Tabula rasa is the theory that individuals are born without built-in mental content and that therefore all knowledge comes from experience or perception.",philosophy
"Cellular respiration is a set of metabolic reactions and processes that take place in the cells of organisms to convert chemical energy into adenosine triphosphate (ATP).",science
"The law of conservation of energy states that the total energy of an isolated system remains constant.",science
"Meiosis is a special type of cell division of germ cells in sexually-reproducing organisms used to produce the gametes, such as sperm or egg cells.",science
"A chemical bond is a lasting attraction between atoms, ions or molecules that enables the formation of chemical compounds.",science
"The Doppler effect is the change in frequency of a wave in relation to an observer who is moving relative to the wave source.",science
"A mortgage is a loan used either by purchasers of real property to raise funds to buy real estate, or alternatively by existing property owners to raise funds for any purpose while putting a lien on the property being mortgaged.",economics_finance
"A credit default swap (CDS) is a financial swap agreement that the seller of the CDS will compensate the buyer in the event of a debt default or other credit event.",economics_finance
"The Consumer Price Index (CPI) is a measure that examines the weighted average of prices of a basket of consumer goods and services, such as transportation, food, and medical care.",economics_finance
"A tariff is a tax imposed by a government on imports or exports of goods.",economics_finance
"Fiscal policy is the use of government revenue collection and expenditure to influence a country's economy.",economics_finance
"Plate tectonics is the scientific theory that Earth's outer shell is divided into several plates that glide over the mantle.",science
"The scientific method is an empirical method of acquiring knowledge that has characterized the development of science since at least the 17th century.",science
"A cell is the basic structural and functional unit of all known organisms.",science
"DNA, or deoxyribonucleic acid, is a molecule composed of two polynucleotide chains that coil around each other to form a double helix carrying genetic instructions.",science
"Botany, also called plant science, is the science of plant life and a branch of biology.",science
"Zoology is the branch of biology that studies the animal kingdom, including the structure, embryology, evolution, classification, habits, and distribution of all animals.",science
"The mind–body problem is a debate concerning the relationship between thought and consciousness in the human mind, and the brain as part of the physical body.",philosophy
"Free will is the capacity of agents to choose between different possible courses of action unimpeded.",philosophy
"Consciousness, at its simplest, is sentience or awareness of internal and external existence.",philosophy
